Reviewer Name,Review Title,Review Paragraph,Star Rating,Review Date
amit kumar,Delightful,To good,4,"Oct, 2017"
PRAYAAS RASTOGI,Classy product,"Happy to get this. Awsome handset its amazing to use this behalf on using of i 6. Tottally change fucntions still surprising from features. Good one.
I phone is i phone...yaar.
Liitle bit dissapointed from the UI changes same to android like tower or battery icon.",5,"Nov, 2017"
Lekh Nath Sharma,Flipkart keeps the mentioned delivery time!,"Product is perfect in all respect as all of us know that apple is known for its quality, only thing I would like to add is that Flipkart kept its promise of delivering the stuff in time. I had made full advance payment and got the item in perfect condition and well in time.",5,"Nov, 2017"
Vijay D,Terrific purchase,"Phone is all good. Flipkart deliver was good. The only issue I see is the tempered glass no matter how many ever times I get it replaced, it cracks or breaks pretty soon. I havent seen this issue with other phones.
Rest all is good with this phone.",5,"Oct, 2017"
Makrand Take,Highly recommended,It is just awesome and everything thing was good,5,"Oct, 2017"
pavan k,Excellent,Very stylish good loooking standard phonee with high quality features its better than gold about look water resistant is realy good feature alll better then all other water proof phonese device compatible :red_heart::red_heart::red_heart::red_heart::red_heart:slik handy slim lightweight value for money love iphone,5,"Oct, 2017"
HARI KRISHNAN K,Genuine,Firstly my screen was yellowish and after I contact customer care. They told me iPhone 7 has two types of display one is blue and other is yellow. So they ask me to change colour filter to get the actual colour of blue tone display screen.. after that this is an 100%original one. But one day more than the promised date of delivery after all I recommend to choose Flipkart and this seller...,5,"Oct, 2017"
ALANKAR SHARMA,Wonderful,Package was superb and product was absolutely real original .. I phone OMG it's <3,5,"Oct, 2017"
Yogesh Patil,Great product,Awesome phone,5,"Oct, 2018"
Jude Finney,Right time to buy iPhone 7,"Best time to Buy this
I have upgraded from my iPhone 5s to 7
With 34k ..As Im not that impressed with iphone 8 and iPhone X due to its glass panel and over pricing issues I consider iPhone 7 as the best durable iPhone as of now ..Great flipkart experience",5,"Oct, 2017"
soumyadip,Great ph.,"I think ,those who love 5inch smartphones,with great performances,fluid ui and excellent camera,with decent battery life of over 1day of mediocre usage,then this ph. Is for u , IPhone lovers will really love to use this ph. And the only con is the price point though ,I bought it on offer of over 11k rs off on the based price , just loved it",5,"Oct, 2017"
surender babu veera,Good and nice ...,Nice got genuine product which una trying its good and nice and its fast too ...,4,"Oct, 2017"
Flipkart Customer,Super i Phone 7,Its absolutely original Apple !! No issues !! No lag !! Excellent Camera like DSLR !! Display awesome !! Very good water & dust proof !!!,5,"Dec, 2017"
vivek chaudhary,Go for it ! I phone 7,"Awesome
I phone is best quality phones i always love to use i phone last 3 yr
Good phone nice feature with ios 11.
Flipkart rocks 2 day delivery.",5,"Oct, 2017"
Shaikh Insarul,Nice performance,"Nice phone and quick delivery by Flipkart
Performance is awesome. It is better to buy iphone 7 then iphone 6s .
But packing was not good enough.",4,"Oct, 2017"
KRUNAL,Awesome,"I am the fan on apple products...since last 3 years i am using iPhone. I own iPad, iPhone and macbook too. Believe me nothing can beat apple in performance.

I dont need to write a review for an iPhone as everyone knows about it. Its the best.
Go for it when you feel the right price is offered. Good luck grab it.

Now price has gone down so who is waiting for iphone 7, its the time to grab it.",5,"Oct, 2017"
Flipkart Customer,Fabulous!! Iphone 7 Silver,Completed 10 days with my IPhone 7 Silver device..till now working fine and looks fabulous..received fine product.,4,"Oct, 2017"
Abdul Kalam,Terrific purchase,Awesom phone guys go for it delivered within 22 hr,5,"Oct, 2017"
Flipkart Customer,Worth buying at discount price offered by flipkart,"Product was upto the mark. However the screen was yellowish with default settings. On exploring the said issues online, I found that these are manufacturing problems coming up in Iphone. On review of the said problem, I found that certain settings are required to be changed. On following the said steps, the yellowish screen minimized to that extent. However with Iphone being such a huge and expensive brand, as a customer default view should have been at its best. Iphone Co. Should accordingly work upon in their coming versions. Flipkart did its best and made the genuine supplier supply the genuine product. The product was worth buying at such discounted price of 39K, which otherwise is available in stores at 47-49K. Keep up the good work Flipkart !!",5,"Oct, 2017"
AJAY ROUTH,Nice phone,I have to order 23rd sept on big billion offer & received my iPhone 7 26th sept thanks Flipkart I avail Puja with my iPhone 7 first of all just I say that awesome product good battery backup very fast compared to android phone & camera are to good night & day both also front camera r good and very handy,5,"Oct, 2017"
Sandip Jaysingrao Patil,Terrific purchase,Nice cell phone,5,"Oct, 2017"
Vishal Dhar,Wonderful,Thank you so much Flipkart for ur aswsome deals. And delivered before time. I wish u n ur team a prosperous festive season.,5,"Oct, 2017"
Tanmoy,Awesome mobile at a good price..!!,"The best mobile at this price range (~40k),
Excellent in performance, camera, look. Battery is good.
I have used samsung S5, S6 & S7 edge. But i hv to say it is really better than them all.
Flipkart delivery was really fast (within 2 days).",5,"Oct, 2017"
Vikram Avadhaani,Shifting from OnePlus 3T,"First off a big shout out to Flipkart logistics and the prompt delivery guy who made this happen despite of heavy delivery rains!
Got this delivered the next day after ordering. Impressive (applause)
About the phone:
I shifted from my OnePlus 3T, which was an equally good phone. Things that I miss:
- dash charge
- got a walnut case which is of no longer use to me
- dual SIM (using Jio data)

Certainly feels good to comeback to iOS on my phone. Apps are stable and usable again. Well almost, minus the nuances of iOS 11.
Huge pluses for me include:
- iMessage: way better than WhatsApp, Messenger
- FaceTime: my go to video call app
- Apple Music: loving it
- Bluetooth connectivity is far superior
- true colour reproduction in my images and amazing low light performance

Didnt have enough budget to go for iPhone 10. Glad that I got 7 (cue Thunderstruck by AC/DC \,,/ )",4,"Oct, 2017"
ANKIT TYAGI,Thnx for not delivering Fena Soap .. Thnx Seller,"Its more than 2 days I am using IPhone 7 and its my welcome kit to IOS . So loving it
For Delivery
Flipkart delivers product within 24 hours as seller is also from Delhi
But delivery Agent was rude .
Flipkart should look into matter

For Product
Working fine and smoothly . Thnx to Seller and Flipkart for not sending fena soap instead of IPhone",5,"Oct, 2017"
Flipkart Customer,Great product,Superb product with safe n fast delivery.. thanks to flipcart.. make me happy with my dream phone at best price.,5,"Oct, 2017"
Ajay Dixit,Iphone7,"The product is so good nd in well condition the delivery was very fast and my iphone is working properly
i love flipkart nd iphone",5,"Oct, 2017"
ALI Ali,Just wow!,Too gud..best deal ever...,5,"Aug, 2017"
Pintu Singh,Best of best,"Iphone is iphone and iphone 7 is best of best its my 4th iphone. I used iphone 4, SE, and 6 but this one is something different, camera is really improved. Touchscreen is too good then iPhone 6s and A10 fusion chip is great.",5,"Oct, 2017"
Pradip Jyoti Bora,Fast delivery. Bad packaging.,"Three Stars only for the product and not to Flipkart. Flipkart has always been my favourite. iPhone 7 doesn't come with fast charging. Gets too heated up just after viewing 2 minutes of YouTube video. Very prone to drops, would suggest to purchase a good case to prevent drops.
Flipkart delivered the product in two days. Love you flipkart. Only thing I didn't like was that the packaging was not as expected. At first glance I thought the package was already opened.",3,"Oct, 2017"
Flipkart Customer,Fabulous!,Awesome product from flipkart. I've order iphone 7 black. And i got it with in 48 hours. I'm happy that i got genuine product from the flipkart. Thanks a lot!,5,"Oct, 2017"
Venkatesh M,Best phone in the market for best ever price,"Got it in offer 15 days before, this is my first iPhone, I have been using android phones from many years. but nothing can be compared with iPhone, iphone doesnt speak with specs like current market android phones, its an perfect combination of hardware and software which makes users love it.",5,"Oct, 2017"
Shaheem Shahi,Wonderful,"Great choice to consider if you are looking for an iPhone.
I would recommend this phone if u are looking forward for an ios device that is not too expensive and provides you with great features available in the market. Since iphone 8 is available in the market the price of 7 has been dropped, so this would be a great choice now.",5,"Oct, 2017"
Manav Kabra,Amazing phone,"I ordered this product on 21st september(bbd). And i received it on 22nd afternoon. First of all, thank you flipkart for such lightning delivery.
Coming to the phone, i received the phone in a really good condition, It is working buttery smooth and very fast. I made a perfect decision to buy this iphone 7. If you really want this phone, go agead and buy it without any second thoughts. Thanks flipkart and supercomnet. :)))",5,"Oct, 2017"
Aloke Acharjee,Fabulous!,Awesome Product at a very awesome price. I got my IPhone 7 at the best available rate. Delivery was good. Thumbs Up FK....,5,"Oct, 2017"
Suraj Jaiswal,Genuine product. Best prize by Flipkart.,Purchased for best price ever by Flipkart. Received before delivery date. Feels amazing moving from iPhone 5S to iPhone 6 Plus to iPhone 7. Preferred 7 over 7+ because of the perfect size which fits exactly in the palm. Mush liked the Haptic feedback Home Button.,5,"Oct, 2017"
Flipkart Customer,Awesome,Nyc product. Happy about my first iphone... l love using it.....and thanks for the neat and timely delivery,5,"Oct, 2017"
raj ranwa,Worth every penny,"Nice phone, audio n video quality superb, camera quality fabulous, battery backup nice, touch screen best, so cool ios system, looking gorgeous handset, A 10 chip software fast, very different apple parts quality iPhone. Camera 10 /10
ios 09/10
battery life 09/10
sounds like 10/10
processor 09/10
touch base 09/10
Video quality 10/10
used to after one month.",5,"Oct, 2017"
Anuj Shah,Happy with my first apple product..IPHONE 7,"I am using my iphone since 1 month...

No complaints for this

Nice battery back up.

Smooth working.

Only thing I disappointed is about its colour clarification.

I got confused between black and jet black which colour has matt version or glossy version .

And lastly Apple symbol disappoints.
Not clearly showing with jet black.",4,"Jun, 2017"
ARUN K,GOOD SERVICE PRODUCT,Flipkart does a great job. I got the phone on big billion day offer for 39k now again it is 56k. Good offer it was. And delivery is fantastic it got delivered 2 days in advance,5,"Oct, 2017"
Mayank Yadav,Go for it. No doubt.,Awesome product! Delivered much early than expected. Very satisfied with flipkart. Got it in a very satisfactory price! Good packaging too. Thank you flipkart.,5,"Oct, 2017"
Akash Rohila,"Great phone till date, dont think much just buy it","I bought iPhone 7 3 months back and been using it as my primary phone since then.

First I was kind of scared to buy it online but i took the risk anyways.

I would like to thank Flipkart for the fast delivery.

Believe me guys it is an awesome phone till now.

Battery backup is great.
Buttery smooth iOS.
Proper screen size.
And everyone knows about the great Camera of iPhone

These were my primary requirements which were full filled by iPhone.

If you are also thinking of buying it, dont think twice.

Just Go for it.",5,"Oct, 2017"
Sarthak Joshi,Happy with Flipkart,"Amazing phone, no doubt about it since its an apple phn. And thanks to Flipkart for always delivering genuine products right on time with great offers and discounts.",5,"Sep, 2017"
David Techi,My first iPhone,"I got the product within 2 days this is my first iPhone and I was hyped af .. Great phone and I got it for a good price so I'm really happy with it . Anyone planning to purchase it should wait for the price to drop as iPhone 8 is out too so wait a while for the price to go down. Over all I'm in love with this phone ,awesome phone",5,"Sep, 2017"
Flipkart Customer,Birthday Gift,"Honestly this was a birthday gift that I wanted and its the last phone from my dad, and I wanted to buy the best in my budget, since I was upgrading from an iPhone 5s, the 7 was a no brainier for me, so I eagerly waited for the Big Billion Day sale and placed my order on 21st of September and my birthday was the next day and Flipkart was gonna deliver it the next day itself. Sadly the phone delivery was delayed by a day which was kinda disappointing as I waited an entire day for it, but overall no problems.

The next day (23rd) I received the device in the evening and was happy with the packaging and everything, the phone of course is really good and Im typing this review on it and to be honest, the headphone jack is not so much of a problem for me, and for the price I got this phone for (39k) I am really happy I made the right choice and right time to buy it.

Even though I didnt expect to wait an entire day and get the phone the next day, overall the ordering process was smooth and the device is worth every penny I spent. Go for it if there is a sale again and you wont be disappointed!",3,"Sep, 2017"
Kunal Dahasahasra,Just wow! Good Deal when you get your first IPhone !!,"Well I've received the product before the committed date by FlipKart.!! Its IPhone7 no need to comment on its spects !!
I've got the proper sealed box of Iphone which is working very smoothly yet to explore many more features as I'm using for the first time IOS..!

Must buy if you get this kind of deal and you're thinking to buy it in 50k range,..!!

Cheers and thanks to FlipKart ! :)",5,"Sep, 2017"
Manjunath S Mithra BHEL 29AAACB4146P1ZB,Just okay,"Appe is always known for the best range of products. Happy to have one. And that too I phone 7. But I am disappointed with the services given by Flipkart. Actually it was promised that I would get my phone on 26th September, 2017. But even after waiting for whole day the date of delivery immediately changed to 28 th around 7.30pm. Pls try to stick on to the promised date of delivery next tym onwards. We really expect timely delivery and a atleast a call from your customer service team regarding postponing the delivery date. I m really disappointed",3,"Sep, 2017"
Milind Chaurasia,Wonderful,"Awesome product. Its camera is pretty decent, I got it for 37599. Good service & fast delivery.
Well done Flipkart",5,"Sep, 2017"
NIKHIL BHUWAD,Mind-blowing purchase,"Awesome rates,very cheap rates,superb service by filpkart",5,"May, 2017"
SUBRAT KUMAR,Brilliant,"THANK YOU GOD
thank you Flipkart for original product
Today I received my iPhone:door:
iPhone is the best smart phone

And it's awesome
iOS 11 is amazing",5,"Sep, 2017"
Rishabh Aggarwal,Wonder product #Satisfied,"Wonderful product, thanks to Ekart received this product within 2 days well in time, I have bought black colour with 32 GB, sufficient for a daily use..
Wonderful battery backup, and Camera as compared with my old IPhone 6, it has some new cool features like 3D Touch, new camera and dual Speakers.
DisAdvantage:
1) Does not have a headphone 3.5 mm jack :/


#Iphone7 #Flipkart #black32GB #Satisfied",5,"Sep, 2017"
Flipkart Customer,Black beauty,"Amazing black beauty

Really feel nice when it tries to slip from your hand, quite handy i would say

Excellent body

Just what you needs

If you have used android earlier or I5 series then this would be where tour search ends

Go for it!!!!",5,"Sep, 2017"
Vainkteshwar Sahu,Mind - blowing phone,The experience was awesome and product is awesome & genuine. Amazing deal on the big billion days get great deal on the iPhone 7 thanks you flipkart & mostly the seller thanks.,5,"Sep, 2017"
Flipkart Customer,got phone in on time,"i phone 7 i got in offer worth rupies 37499
.which is the best price i ever seen .quiluty is good",5,"Sep, 2017"
Oswin Raul R Marak,Simply awesome,Best deal ever n keep it up flipkart,5,"Sep, 2017"
Ved Prakash,Brilliant,I have shifted from android to ios and found it amazing. Coming to phone specification it has fantastic design and looks beautiful I would say it is beast in its segment. Camera quality is amazing. Product got delivered on time and packed well thankyou flipkart for ur dedication towards customer expectation. Thank you once again.,5,"Sep, 2017"
Sanat Sahoo,Terrific,Fantastic phone. Worth every bit,5,"May, 2017"
Aakanksha Sinha,Good,Good,5,"Sep, 2017"
ajay kumar joorail,Mind-blowing purchase,Awesome phone i have ever interfaced .... superb... thank you soo much flipkart .... its 100% genuine ... thanks a tonn once again...,5,"Sep, 2017"
Flipkart Customer,Excellent,"Awsome , good packing,Got iPhone 7 (128) gb just fr 50k,,thnx Flipkart",5,"May, 2017"
Flipkart Customer,Mind-blowing purchase,fastest delivery . loved the product very much. keep up the good work,5,"Sep, 2017"
Vishal Pandey,Best of flipkart and best of BIG BILLION DAYS :),"Matte black iphone , upgraded from 6 to 7 and trust me it was an awesome decision to upgrade in big billion days

Thanks you flipkart , your are amazing",5,"Sep, 2017"
Amaan Soratiya,Best in the market!,"Got i7 at a very best price... an amazing phone with superb camera...
Nothing can be better than this....",5,"Sep, 2017"
Saurabh Karve,Perfect product!,Excellent phone with stunning camera and memory. After all it's Apple product so it's worth buying it and specially at this low price which was offered in Big Billion Day,5,"Sep, 2017"
Subash P,It’s an Apple,"We all know that this is an Apple product design the hardware and software which is why they perform at an optimal speed.

This product in particular iPhone 7 has a faster processor than the fastest processor in android and coupled with two GB of ram and internal memory of 32 GB and with the camera resolution of 1.7 micro pixels this is the best in the market

Believe me or not.. This makes you feel solid holding an iPhone in your hands.

There is only one con you can find in an iPhone and that is the battery which is still below 1900 mA so you don’t expect life for more than a day with a single charge like you expect in a 5000 mA in an android mobile if you’re okay with this nothing can beat this",5,"Sep, 2017"
Hubert Shilshi,Perfect product!,After a long wait finally I was able to purchase it at a great price. Got a brand new handset with proper packaging and swift delivery. Really bery happy.,5,"Sep, 2017"
Prabhin US,Good phone better than previous iPhone models,"I upgraded from iPhone 6 to 7 . The major difference I could find in the brightness is much better and processing is fast.

It took time to adjust to the new home button in 7 but surely it is better than previous iPhones.

I miss the 3.5 mm jack surely even though we have a 3.5 mm connector provided.

Matt black is awesome .
Overall it is a wonderful phone.

Delivery and packing was best as always by flipkart.",5,"Sep, 2017"
Sailesh Patne,BEWARE dont buy any electronic good from FLIPKART!!!!,"BEWARE dont buy any electronic good from FLIPKART!!!!
Purchased this product from flipkart , they sold defective piece in the name of SALE . After using this devices suddenly it was DEAD, When contacted service center came to know the a part from the phone is missing.!!!!!

And now flipkart is not taking any responsibility of their sold goods. SAME ON U GUYS.",1,"Sep, 2017"
Flipkart Customer,Just wow!,"Very awesome product from apple and kudos to flipkart for very prompt delivery of product, which is good for impatient customers like me.",5,"Sep, 2017"
avinash binnani,Very Good,it's a good product. works smoothly with a good processor and camera,4,"Sep, 2017"
Sidharth Dev,Taptic Engine!,Smoothest iPhone yet. The Taptic engine is absolutely glorious. It fools the brain perfectly and is so much cleaner than a physical button. The performance just keeps getting better as each iPhone comes out.,5,"Sep, 2017"
Aurang Ali,Great Choice,I made a great choice by switching frm Android to apple phone. This is brilliant phone with all specs which I'd required for me. Very good battery back up and fast enough to browse through applications.,5,"Sep, 2017"
Barkha,Worth every penny!!,"First of all a genuine product from Flipkart thumbs up to their delivery and seller as I was having so many apprehensions before going for it online...I haven't used iPhone before and this is my first time with this product... amazing is the word!!
Battery life is so far so good in comparison to other iPhones it last easily for more than a day for moderate usage... camera is awesome...I bought it during the sale and got a good discounted price...thanks Flipkart :)",5,"Sep, 2017"
Amit Chaudhary,Excellent,The ultimate phone. A good upgrade,5,"May, 2017"
Flipkart Customer,Delightful,"Brilliant smartphone, probably the best in the market today. Yes, iPhone 7 plus is better but it is much bigger size to conveniently use and isn't as handy. Apple lives up to its reputation yet again and provides quality and reliability. Yes it's a bit expensive but it is absolutely worth it, much better than buying a chinese brand for a few thousands less. When it is apple you can blindly trust the product, super good. Although the design is a bit disappointing as it is very similar to its predecessor. 4.5/5 for me.
Edit: After two years of use, the battery and lightning port has worn out, I will have to spend around 3.5k",4,"Aug, 2017"
Amitava Roy,Apple experience,"No lag, very very smooth apps transition, excellent reception, great 3D Touch feature, nice and worthy voice assistance. Everyone should at least experience apple once. I am still user of android, but apple is altogether a different level. Reading experience is like reading in kindle which no android phone can give. I recommend FaceTime for video call and airdrop for content sharing. In every technical aspect, apple is way ahead of android and it reflects those who use phone for all round purpose.",5,"Aug, 2017"
Flipkart Customer,Not recommended at all,the phone keeps hanging,1,"Oct, 2017"
Aanubrata Chakraborty,Iphone 7 rocks and so does Flipkart!! Kudos.,"Ordered the phone on 09 August 2017, Ekart delivered the product on 11 August 2017.
The phone came in the standard Flipkart packing with bubble wrap inside. The phone box was sealed and in good condition. There were no sign of any wear and tear from outside.
The phone inside was intact as promised and the phone works very well.
Battey lasts for an entire day and even more smoothly with a single charge with moderate to typical usage.
The camera performance is pretty good and has been taking some very good pictures.
The speakers on the bottom are of stereo quality and provides very nice sounds.
The touch panel works very smooth and quickly.
The network availability and call quality is very good as compared to other phones.
Reliance Jio working pretty good, also you can make calls from the Jio number even when the phone is connected to an wifi network.
Facetime works very well.
Google Maps support is also available.

Thanks for reading and I hope my review helps anyone trying to buy this phone online from Flipkart.",5,"Aug, 2017"
Darshan Patel,Terrific,Excellent Product,5,"Aug, 2017"
Javaid Ahmad,Awesome,"Super fast delivery by flipkart.
Also, got the gud price on independence day sale. Well packaged box. Flawless phone.

Flipkart Rockssss !!!!",5,"Aug, 2017"
Sachin Prakash,Good quality product,Everything is good except the absence of 3.5mm jack. You tend to lose the connector and is quite frustrating. As a phone well everything is as perfect as it can get. Classy fast and mean machine,4,"Aug, 2017"
RCP .,Bye bye andriod,First iPhone this. And i am loving it. I am using it for last 6 months. No complaints. I used Asus zenfone 5 before this. Thats a good phone as well with a lot of ui customization options. But i am not missing any of it with iPhone. The default iOs ui is so sleek and fast and sauve who needs customisation. It reduces the unnecessary chore of playing around with your ui. I also have a series 2 watch. With that combination i could have not asked for better. Supet awesome user experience. Just go for it.,5,"Jul, 2017"
Flipkart Customer,simply awesome,quite nice phone no negative all are positive absolutely go for this if you are looking for medium budget mobile because apple is great as well as its products,5,"Jul, 2017"
Flipkart Customer,Brilliant,Good,5,"Oct, 2017"
Vijay,Excellent Product! Go for it,Excellent product. Timely delivery from Flipkart. Enjoying the latest features of IPhone 7. Camera is simply awesome,5,"Jul, 2017"
Shaunak CHAUDHARI,Excellent,best,4,"Oct, 2017"
Indranil Sengupta,Performing = Awesomeness but have some suggestions as well.,"I have been using iphone5s for the past 2 years. Switched to 7 very recently after 3 weeks of usage here are my observations:
1. No problems in User interface. No problems related to performance. It is simply amazing.
2. Iphone 5s was provided with a 2.1 Amp charger output. I am not sure why iphone 7 came with a 1Amp charger.
3. The headphone come with a lightning connector. So it means you cannot listen to songs or do a meeting using headphones while charging it. Or the other way round.

Overall Using the phone is awesome. But it would have been better if the box come with a splitter cable as well to support headphone and charger at the same time. Also the fast charging is gone as the charger is of low Ampere output",4,"Jul, 2017"
Flipkart Customer,First bad experience with flipkaart,I ordered iphone7 on the first day of its electronics sale along with exchange of my old phone... somehow the delivery man found a scratch on my old phone so he refused to take it.. I was ready to pay off the exchange value...but such a ridiculous policy.. I was made to cancel the entire order... and place the same order... however I did not get the day1 deal of the sale ... and the new price was 1 k extra....so the entire process was a waste and ultimately I faced a loss of 1 thousand bucks !!,3,"Oct, 2017"
Moulik Gala,Brilliant,"Delivery as prior d dates
... as usual , good work. N ant d fone no doubt awesome n sleek n perfect in hands",5,"Jun, 2017"
Abhinav Khanna,Amazing 7 if you Don't own a 6/6S.,"Amazing product. To me the Gold looks much more amazing than Black. Though the phone is quite similar to its predecessor, the camera is better. Won't comment too much on performance as even 6 was great for me and 7 looks amazing to. Haven't utilised it in a way where I can comment on performance but it's pretty smooth to function. The new speakers and much better. If you play music simultaneously on 6S and 7, you won't even hear what's being played on 6S. The lack of 3.5mm jack is noticeable as I use Bose Earphones instead of EarPods and it's tedious to use the connecter in between plus also hampers sound quality (The Air Pods aren't available yet).
Lastly, summing it up, if you have a 6S, don't upgrade to this. It might be worth skipping this variant in between. If you have a 6 and don't like the 3D Touch, skip this model. Else just grab it whenever you can get your hands on it.

P.S. Amazing delivery from Flipkart. Had the phone with me at 7:20 PM, on October 7, when it was released at 7:00 PM. The black box package from Flipkart has already done enough no of rounds on Social Media, but sincerely felt nice.",5,"Oct, 2016"
Jasbir Kumar Gandass,Flipkart is very good way to buy any products,"Flipkart is a very Fastest!!!!!!!!!!!!!!!

My Name is Jasbir Singh Advocate, from Gurgaon, finally I got the most awaited iPhone 7, phone of the year and too from flipkart was so amazing.

I am really thankful to flipkart for understanding of customer and also thankful to flipkart's excellent service.

Flipkart delivered my iPhone 7 on 07-10-2016 at 7:20 pm, when Apple conducted all India launch. Flipkart is another word for Geniune products.

iPhone 7 in first looks is a awesome phone with excellent camera. And it's new home button which is more faster than previous iPhones and sound quality is also very good & battery backup is very satisfactory.

I heartly recommend to everyone for buying anything only on flipkart.

Very very thankful to flipkart.......",5,"Oct, 2016"
Bhupender Keswani,Experience of switching from android to iOS,"I have been an android user since long, so switching to this was big decision. But, I did it, which I feel is best due to my needs.

Would recommend this to people who don't want much of piracy (which is now possible with iOS too).

It's simply best when it comes to doings things in best possible way.

It's not for people who want to do many odds or love to change things every now and then. For them android is best, where you can install any beta app, play with themes, test things around, download movies, share them, download songs, download pirated games/apps, etc.


Best for multitasking (can switch between any number of apps)

No doubt, best camera. Have to admit that Samsung s7's camera is still better than iPhone 7. But that's a small trade off.


Conclusion, good for those who believe in simplicity.",5,"Jun, 2017"
debasish sahoo,defect piece flipkart gave,Awsome product,5,"May, 2017"
OmPrakash Karn,Iphone - Met expectations again.,IPhone stand away from rest. It is well built and nice to hold it.. battery last long for 24 hours easily on 4G.. it gets charged faster than 6s and 6.. 32 gb space is good enough to store media and apps. Design no big difference than 6s except the button.. but mat black luks stunning.,5,"May, 2017"
Flipkart Customer,Best product,Good one,4,"Sep, 2017"
Rajaram Rajendiran,Flipkart is a perfect place to get an iPhone,iPhone 7. Great product. Good price Flipkart. Fantastic offer. Great place to buy a product.,5,"May, 2017"
Krishan subudhi,Champion phone,"Great phone. Works like a charm. iOS is way better than Android. If you are willing to spend more than 30k, iPhone is better than Android in every case.",5,"May, 2017"
Nirmalya Biswas,Awesome! Awesome! Awesome!,Just go ahead and buy the product. Flawless... and last but not the least iphone and flipkart made for each other! Rab ne bana di jodi!,5,"Mar, 2017"
Flipkart Customer,Awesome,Received the phone in perfect condition and loved it .. thanks to supercom retail and flipkart ..one of the trusted seller ..,5,"May, 2017"
Ritesh Modi,Good phone is iPhone,Very good phone and service is also good and fast I liked it,5,"May, 2017"
SUNIL ROUT,"Great iPhone 7, loved it.","It's a superb phone, I have checked the IMEI number from the Apple website also.
I am an iPhone lover and using the apple from last so many years. Now updated from iPhone 5s to iPhone 7. I am really happy with the product.",5,"May, 2017"
Sumit Kumar,Worth the money,"I was always an Android user because I find iPhone to be an over priced device. I got a chance to grab the device in a price which I consider reasonably good. Every premium phone is above 30,000 and for iPhone 7 Balck I was okay paying 38,499/-.

I am using the device and must tell you by now that it actually worth paying. I know understand why an iPhone user become loyal and can't switch to Android.
Thanks Flipkart for changing my mind by offering this black beauty for this price. It makes you feel great in the crowd holding iPhone 7 black. :)",4,"May, 2017"
paras attri,Flipkart roks,Amazing buy from flipkart got it at midnight sale just 40k ..loved it ..packing delievery all was good..nd I phone 7 its just the best of the best,5,"May, 2017"
Souvik Bit,iPhone 7 32 GB. I am just loving it,Kudos to Flipkart speedy deliver. Excellent product. I am just loving it. Thank you Flipkart for making this product at a very competitive price,5,"May, 2017"
Mohit Mendapara,"Apple iPhone 7 (Jet Black, 128 GB)....MOHIT PATEL","Excellent price....very good service....A++++++
Thank you so much",5,"Feb, 2017"
Pritish Agarwal,Really Nice,The packaging was low but all in all it was good,4,"Sep, 2017"
Aashish,Buttery smooth..here comes the iPhone 007!!!,"Deadly combination of iOS 10 with best ever hardware configuration from apple makes it highly desirable..top class speed, camera performance ...first impression looks very promising!!!",5,"Oct, 2016"
Flipkart Customer,Terrific,Amazing phone. Great Camera. Got it in the Flipkart sale at an amazing discount. The phone was delivered in just 2 days. Thank you Flipkart!,5,"May, 2017"
Flipkart Customer,Worth it,Awesome product enjoying the iphone 7 thanks flipkart for such a great deal and making it available in india,5,"May, 2017"
Abhishek Mittal,The best iphone ever,A must buy product. The best iPhone I've ever had. The moment I got my hands on this beast it gave me such a luxurious feel to hold it. I must say I'm impressed with its battery life too. It is much better than the previous iPhones I've had. Overall an excellent product.,5,"May, 2017"
Flipkart Customer,Super!,Great Experience on my buying the first ever iPhone from flipkart. I bought an iphone 7. The product is 200℅ authentic and was delivered before time with great packaging. I was very much worried after reading the negative comments about the supplier but all that was completely fake. Kudos to the good work from Flipkart and team. Looking forward to become a healthy customer. :red_heart:,5,"May, 2017"
Siddarth,Super!,The best phone I have ever used. Its not packed with features but it stands at the top with low specs which is effectively optimised for the OS.,5,"May, 2017"
Apporwa Verma,worth it!,"1- Love the color
2- Love the life without space constraints
3- Love the processing speed and the TouchId incorporated for most apps
4- Love the battery backup",5,"May, 2017"
Kevin Bijlani,Best Phone available out in the market!,One of the best phones available in the market right even after the product being 6-7 months old in age. Perfect phone!,5,"May, 2017"
Piyush Chomal,Bad quality,"It's a good phone.
BUT it's definitely not worth the price.
In this price range you can get much better phones.
So refrain from buying it.
Flipkart was good.",2,"May, 2017"
Atul Kumar,Wonderful,Awsome phone with best price. Thanks Flipkart. I enjoyed this phone. And awsome features,4,"Apr, 2017"
Jane Karen,Best product,Delivered on time. Genuine. Checked in apple support and its original piece. This is my second iPhone and this ones a lovely piece of a work ...!!!,5,"Apr, 2017"
Silambarasan S,Terrible product,Received defective piece,1,"Aug, 2017"
Flipkart Customer,All smiles,A great phone! Super happy since its my 1st iPhone ever! Got delivered within 2 days from Bangalore to Mumbai! Super happy! Go for it!,5,"Apr, 2017"
Flipkart Customer,Worth the money!,"The best phone one could have, For me 32 gb is sufficient and worth it. Excellent device.",5,"Apr, 2017"
Saurabh Shukla,Iphone 7 - Seriously a Dammm!! good device to have,"First of all thanks to flipkart for delivering it in a day..
I am using iphone from last 2 years and this phone i have to say is really a beast
interms of performance,camera quality, battery life : goes well for a day listening to music, surfing facebook.
Seriously happy after buy this device.
Much faster responce as compared to my earlier iphone.",5,"Apr, 2017"
jayanthi Customer,One Star,Cheated,1,"Jul, 2017"
